title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
Mignon chien de compagnie chat chemise d'été respirant gilet pour chats petits chiens mode lettrage Polyester chaton vêtements chiots Costume,Cute Pet Dog Cat Shirt Summer Breathable Vest For Cats Small Dogs Fashion Lettering Polyester Kitten Clothes Puppies Costume,3.98,EUR,4.0,EUR,4.82,10,,,3.625,24.0,12,2,4,1,5,,,,,,,boss-xs,50,Livraison standard,1.0,false,,50,,,CN,wangwenhuangi,wangwenhuangi,83 % avis positifs (354 notes),354,3.9350282485875705,5e980b23fcf72510e2c419c0,,,https://www.wish.com/c/5ec3b8aa943035638f2ffffe,https://canary.contestimg.wish.com/api/webimage/5ec3b8aa943035638f2ffffe-medium.jpg,5ec3b8aa943035638f2ffffe
"Comet Pet Scratch Cat Tower, one. (please check the description)","Comet Pet Scratch Cat Tower, one. (please check the description)",101.0,EUR,101.0,EUR,122.0,0,,,5.0,0.0,,,,,,,,,,,,,5,Livraison standard,12.0,false,,5,,,KR,K-Mild,kmild,63 % avis positifs (8 notes),8,3.0,5ff5ca506fb1f4d5c07d6fd6,,,https://www.wish.com/c/5ffd2ac4da455d57f7230d87,https://canary.contestimg.wish.com/api/webimage/5ffd2ac4da455d57f7230d87-medium.jpg,5ffd2ac4da455d57f7230d87
CHINA Owner-Pet Matching Clothes For Dogs Winter Clothes Warm Dog Pet Clothing For Dogs Hoodie Costume Pug French Bulldog Ropa Perro,CHINA Owner-Pet Matching Clothes For Dogs Winter Clothes Warm Dog Pet Clothing For Dogs Hoodie Costume Pug French Bulldog Ropa Perro,95.0,EUR,95.0,EUR,115.0,0,,,5.0,0.0,,,,,,,,,,,multicolor,onecolor,50,Livraison standard,12.0,false,,50,true,Quantité limitée !,KR,GPOPMALL,gpopmall,69 % avis positifs (16 notes),16,3.6875,600bc259338f835382ad78e9,,,https://www.wish.com/c/60547254152b335a0d3b7a97,https://canary.contestimg.wish.com/api/webimage/60547254152b335a0d3b7a97-medium.jpg,60547254152b335a0d3b7a97
Nouveau Pet Tent Tente Portable Playpen Dog Folding Dog Folding Crate Dog House Puppy Pen Soft Kennel Cat Cage ,New Pet Tent Portable Playpen Dog Folding Crate Dog House Puppy Pen Soft Kennel Cat Cage ,14.0,EUR,14.0,EUR,16,20000,,,4.603365384615385,5824.0,4475,785,317,97,150,,,,,,yellow,s,50,Livraison standard,5.0,false,,50,,,CN,biansan,biansan,"95 % avis positifs (8,915 notes)",8915,4.525967470555244,59a17ebd2351345ef2dec82a,,,https://www.wish.com/c/59e1f9f4d540eb51668c02bd,https://canary.contestimg.wish.com/api/webimage/59e1f9f4d540eb51668c02bd-medium.jpg,59e1f9f4d540eb51668c02bd
Winter Pet Dog Shoes For Small Dogs Warm Fleece Puppy Pet Shoes Waterproof Dog Snow Boots Chihuahua Yorkie Shoes Pet Products,Winter Pet Dog Shoes For Small Dogs Warm Fleece Puppy Pet Shoes Waterproof Dog Snow Boots Chihuahua Yorkie Shoes Pet Products,14.0,EUR,14.0,EUR,16,0,,,5.0,0.0,,,,,,,,,,,black,1,17,Livraison standard,4.0,false,,50,true,Quantité limitée !,CA,11368796 CANADA CORPORATION,11368796canadacorporation,"80 % avis positifs (1,166 notes)",1166,3.9382504288164664,5ffb1f43fa8a25c707537989,,,https://www.wish.com/c/5ffdcd343e3e8c004449b9b6,https://canary.contestimg.wish.com/api/webimage/5ffdcd343e3e8c004449b9b6-medium.jpg,5ffdcd343e3e8c004449b9b6
"Ding Dong Pet Pet Cat Rat Punch Auto Toy, 1 pc, Rat Punch Toy","Ding Dong Pet Pet Cat Rat Punch Auto Toy, 1 pc, Rat Punch Toy",62.0,EUR,62.0,EUR,75.0,0,,,5.0,0.0,,,,,,,,,,,,,50,Livraison standard,12.0,false,,50,,,CA,othep,othep,60 % avis positifs (5 notes),5,3.2,5ff04c48c9720a6520e73166,,,https://www.wish.com/c/6013ab9c2c830568515b3e9e,https://canary.contestimg.wish.com/api/webimage/6013ab9c2c830568515b3e9e-medium.jpg,6013ab9c2c830568515b3e9e
Creative Pet chien gilet de sauvetage extérieur gilet de sauvetage réfléchissant sécurité flotteur économiseur vêtements fournitures de natation pour animaux de compagnie,Creative Pet Dog Outdoor Life Jacket Reflective Life Vest Safety Float Saver Clothes Pet Swimming Supplies,7.0,EUR,7.0,EUR,8,10,,,4.75,4.0,3,1,0,0,0,,,,,,orange,xxs,50,Livraison standard,3.0,false,,50,,,CN,topniceday,topniceday,"92 % avis positifs (3,189 notes)",3189,4.327688930699279,58d21422acb37b0b24d0931f,,,https://www.wish.com/c/5eedc8d15777c8119a3d5a61,https://canary.contestimg.wish.com/api/webimage/5eedc8d15777c8119a3d5a61-medium.jpg,5eedc8d15777c8119a3d5a61
Animal Dog Pet Car Safety Ceinture de sécurité Harnais de retenue Laisse de plomb Clip de voyage Chiens Fournitures Accessoires pour ceintures de sécurité de voyage Couleur Noir Bleu Rose Rouge,Animal Dog Pet Car Safety Seat Belt Harness Restraint Lead Leash Travel Clip Dogs Supplies Accessories for Travel Seat Belts Color Black Blue Pink Red,3.18,EUR,14.0,EUR,3.86,10,,,4.602409638554217,83.0,64,11,4,2,2,,,,,,black,,50,Livraison standard,1.0,false,,50,,,CN,meikaishu,meikaishu,"91 % avis positifs (6,298 notes)",6298,4.3239123531279775,5d417239e13a7e2059f719e0,,,https://www.wish.com/c/5e85c21a58c2bb00509d432f,https://canary.contestimg.wish.com/api/webimage/5e85c21a58c2bb00509d432f-medium.jpg,5e85c21a58c2bb00509d432f
Dog Clippers Pet Foot Hair Trimmer Dog Growing Clipper USB Rechargeable Butt Ear Eyes Hair Cutter Remover,Dog Clippers Pet Foot Hair Trimmer Dog Growing Clipper USB Rechargeable Butt Ear Eyes Hair Cutter Remover,14.0,EUR,14.0,EUR,16,10,,,5.0,0.0,,,,,,,,,,,,standardquality,50,Livraison standard,4.0,false,,50,true,Quantité limitée !,CN,You See the World,youseetheworld,"(7,257 notes)",7257,4.43737081438611,5ca8b176f19b203d4118655c,,,https://www.wish.com/c/6077a71e5aec0b9bfadcd60e,https://canary.contestimg.wish.com/api/webimage/6077a71e5aec0b9bfadcd60e-medium.jpg,6077a71e5aec0b9bfadcd60e
"Pastel Pet Cat Fairyball Scraper Toy, Pink, 1 (please check the description)","Pastel Pet Cat Fairyball Scraper Toy, Pink, 1 (please check the description)",79.0,EUR,79.0,EUR,95.0,0,,,5.0,0.0,,,,,,,,,,,,,4,Livraison standard,12.0,false,,4,true,Quantité limitée !,KR,K-Mild,kmild,63 % avis positifs (8 notes),8,3.0,5ff5ca506fb1f4d5c07d6fd6,,,https://www.wish.com/c/5ffd34a1c151db6fd50183ed,https://canary.contestimg.wish.com/api/webimage/5ffd34a1c151db6fd50183ed-medium.jpg,5ffd34a1c151db6fd50183ed
