title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
FIFTYEIGHT PRODUCTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5fbce8b9db44dc0010aca8a2,,5fbce8b9db44dc0010aca8a2
Moxa Stick Roll Holder Healing Therapy Boîte de moxibustion douce en bambou,Moxa Stick Roll Holder Healing Therapy Bamboo Mild Moxibustion Box,9.0,USD,10.0,USD,9,10,,,4.5,4.0,3,0,1,0,0,,,,,,,,50,Livraison standard,3.0,false,,50,,,CN,Starworld88,starworld88,"92 % avis positifs (4,252 notes)",4252,4.3494825964252115,5926cc43fc9cce557720425c,,,https://www.wish.com/c/5d736e9dc7a641492356f312,https://canary.contestimg.wish.com/api/webimage/5d736e9dc7a641492356f312-medium.jpg,5d736e9dc7a641492356f312
Plateau de petit déjeuner de lit de bureau d'ordinateur portable en bois de bambou pliable portatif pour la maison / bureau,Portable Foldable Bamboo Wood Laptop Desk Bed Breakfast Tray for Home /Office,19.0,EUR,19.0,EUR,22,10,,,4.636363636363637,11.0,7,4,0,0,0,,,,,,,,50,Livraison standard,5.0,false,,50,true,Quantité limitée !,CN,1Baaaai,1baaaai,"92 % avis positifs (8,050 notes)",8050,4.354037267080745,59ccc4d28ee78d5c3ec62f2f,,,https://www.wish.com/c/5bb6e057993cae42d2e5ea66,https://canary.contestimg.wish.com/api/webimage/5bb6e057993cae42d2e5ea66-medium.jpg,5bb6e057993cae42d2e5ea66
Mini plateau de service en bambou à thé chinois en Gongfu,Bamboo Tea Tray Chinese Gongfu Tea Mini Serving Table,17.0,EUR,17.0,EUR,20,10,,,4.235294117647059,17.0,9,5,2,0,1,,,,,,,,10,Livraison Express,6.0,true,,10,,,CN,lanqishop,lanqishop,"87 % avis positifs (145,141 notes)",145141,4.131644400961823,5754e27d9c9b9e5ccd8d41b9,,,https://www.wish.com/c/5ad06d408fdae4582c43962d,https://canary.contestimg.wish.com/api/webimage/5ad06d408fdae4582c43962d-medium.jpg,5ad06d408fdae4582c43962d
25pcs pailles de papier à boire bambou Tiki hawaïen Jungle Luau Mason Jar,25pcs Drinking Paper Straws Bamboo Tiki Hawaiian Jungle Luau Mason Jar,3.06,EUR,4.0,EUR,3.71,1000,,,4.584569732937686,337.0,237,70,23,4,3,,,,,,,,50,Livraison Express,7.0,true,,50,,,CN,February2017,february2017,"(36,057 notes)",36057,4.358460215769476,58b7951804e82c577ac247fb,,,https://www.wish.com/c/5912d7537b63f33f2d9ecdd7,https://canary.contestimg.wish.com/api/webimage/5912d7537b63f33f2d9ecdd7-medium.jpg,5912d7537b63f33f2d9ecdd7
Brosse pour le corps Poils de sanglier Épurateur pour le dos avec longue poignée détachable en bambou antidérapante Parfait pour le brossage de la peau sèche Douche et bain Aide à votre réduction du corps,Body Brush Nature Boar Bristles Back Scrubber with Detachable Long Bamboo Non-slip Handle Perfect for Dry Skin Brushing Shower and Bath Helping your Cellulite Reduction Exfoliating Body Massage,8.0,EUR,8.0,EUR,9,10,,,3.935483870967742,31.0,14,8,5,1,3,,,,,,,,50,Livraison standard,3.0,false,,50,,,CN,shenzhenshiwantengkejiyouxiangongsi,深圳市万腾科技有限公司,"92 % avis positifs (42,791 notes)",42791,4.31520646864995,55e1d1d70eeb2a43f14ac5cf,,,https://www.wish.com/c/5b4762d00912bb219544a9f1,https://canary.contestimg.wish.com/api/webimage/5b4762d00912bb219544a9f1-medium.jpg,5b4762d00912bb219544a9f1
Oreillers blancs de mousse de mémoire de sommeil de fibre de bambou orthopédique de contour de Newset,Newset Contour Orthopedic Bamboo Fiber Sleeping Memory Foam White Pillows,14.0,EUR,14.0,EUR,16,10000,,,4.114206128133705,2154.0,1210,406,260,130,148,,,,,,white,1pcs,50,Livraison Express,9.0,true,,50,,,CN,full_house,lalang,"90 % avis positifs (571,636 notes)",571636,4.2384297000188935,53b7b1dd46188e74db5f7e80,,,https://www.wish.com/c/53e1bc824497c5140d2a7844,https://canary.contestimg.wish.com/api/webimage/53e1bc824497c5140d2a7844-medium.jpg,53e1bc824497c5140d2a7844
200PCS/Box Multicolor Double Head Cotton Swab Bamboo Sticks Cotton Swab Disposable Buds Cotton for Beauty Makeup Nose Ears Cleaning,200PCS/Box Multicolor Double Head Cotton Swab Bamboo Sticks Cotton Swab Disposable Buds Cotton for Beauty Makeup Nose Ears Cleaning,2.24,EUR,3.0,EUR,2.71,6,,,5.0,0.0,,,,,,,,,,,white,100pcs/bag,50,Livraison standard,1,false,,50,,,CN,yerterse,yerterse,92 % avis positifs (13 notes),13,4.3076923076923075,5dd36fd5aa4d899186d54136,,,https://www.wish.com/c/60432bd220c761e41ab7e7fe,https://canary.contestimg.wish.com/api/webimage/60432bd220c761e41ab7e7fe-medium.jpg,60432bd220c761e41ab7e7fe
Livraison rapide de haute qualité charbon de bois 30 cellules pliables sous-vêtements en bambou chaussettes tiroir boîte de rangement séparée,Fast Delivery High quality Charcoal 30 Cell Foldable Bamboo Underwear Socks Drawer Seperate Storage Box,10.0,EUR,10.0,EUR,11,1000,,,4.3271889400921655,434.0,264,90,51,16,13,,,,,,,,50,Livraison standard,6.0,false,,50,,,CN,Bigpang,bigpang,"87 % avis positifs (18,263 notes)",18263,4.131796528500247,59689379366c062dadc9b87c,,,https://www.wish.com/c/5bdaa5d9b8af6a15ea8684a9,https://canary.contestimg.wish.com/api/webimage/5bdaa5d9b8af6a15ea8684a9-medium.jpg,5bdaa5d9b8af6a15ea8684a9
10 pièces brosse à dents écologique brosse à dents en bambou arc-en-ciel biodégradable brosse à dents en fibre douce brosse à dents en bambou solide,10Pcs Toothbrush Eco-Friendly Bamboo Toothbrush Rainbow Biodegradable Soft Fibre Teeth Brushes Solid Bamboo Handle Toothbrush,5.0,EUR,5.0,EUR,5,10,,,4.3076923076923075,13.0,9,2,0,1,1,,,,,,black,3pcs,50,Livraison standard,2.0,false,,50,,,CN,hanshengxiongdi,汉盛兄弟,"92 % avis positifs (14,415 notes)",14415,4.348803329864724,56de3b404d0280140a776f3b,,,https://www.wish.com/c/601370347c5e2b3f2d52332e,https://canary.contestimg.wish.com/api/webimage/601370347c5e2b3f2d52332e-medium.jpg,601370347c5e2b3f2d52332e
