title,title_orig,discount_price,discount_price_currency,retail_price,retail_price_currency,discount_price_in_original_currency,nb_cart_orders_approx,nb_units_purchased_approx,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_size_id,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,inventory_total,has_urgency_banner,urgency_text,origin_country,merchant_title,merchant_name,merchant_info_subtitle,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,merchant_profile_picture,product_url,product_picture,product_id
Chaussures de sport haut de gamme pour hommes Chaussures de sport légères pour hommes,Premium Sport Athletic Sneakers Shoes Men Lightweight Casual Shoes,19.0,EUR,140.0,EUR,23,5000,,,3.9822616407982263,1353.0,711,256,172,79,135,,,,,,black,39,50,Livraison standard,6.0,false,,50,true,Quantité limitée !,CN,China Chengdu pure handmade  shoes,chinachengdupurehandmadeshoes,"85 % avis positifs (2,268 notes)",2268,4.060846560846561,5964e8aec2508147eaccca0f,,,https://www.wish.com/c/599639cf16af9124e216c335,https://canary.contestimg.wish.com/api/webimage/599639cf16af9124e216c335-medium.jpg,599639cf16af9124e216c335
Sac à bandoulière simple léger pour femme Sac de voyage décontracté (6 couleurs),Women's Lightweight Simple Shoulder Bag Casual Travel Messenger Bag (6 Colors),10.0,EUR,10.0,EUR,11,10,,,3.9375,16.0,9,1,3,2,1,,,,,,,random,50,Livraison standard,3.0,false,,50,,,CN,Lovely Night Dance,lovelynightdance,87 % avis positifs (477 notes),477,4.1257861635220126,58aab63d8e851f50f5024b35,,,https://www.wish.com/c/5ed9fba8a4ff2942ad5b37ec,https://canary.contestimg.wish.com/api/webimage/5ed9fba8a4ff2942ad5b37ec-medium.jpg,5ed9fba8a4ff2942ad5b37ec
Chaussures de travail légères et respirantes pour hommes Capuchon en acier Chaussures de sécurité décontractées Chaussures de protection Chaussures de sécurité Bottes de travail,Men's Women's Breathable Lightweight Work Shoes Steel Toe Cap Casual Safety Shoes Hiking Protective Footwear Safety boots Working Boots,11.0,EUR,11.0,EUR,13,10,,,4.472527472527473,182.0,129,31,10,3,9,,,,,,red,36,50,Livraison standard,3.0,false,,50,true,Quantité limitée !,CN,lylshop,lylshop,"94 % avis positifs (2,787 notes)",2787,4.427700035880876,5811f0ce5250a24ded8180b9,,,https://www.wish.com/c/5d46d2b59d48615441306692,https://canary.contestimg.wish.com/api/webimage/5d46d2b59d48615441306692-medium.jpg,5d46d2b59d48615441306692
JBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5e8d300f9719ed640496781f,,5e8d300f9719ed640496781f
Hiseeu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wish.com/c/5f8c206ceb31f9c6391a6279,,5f8c206ceb31f9c6391a6279
Finery Unisex Lightweight Plaid Tassel Arab Desert Shemagh KeffIyeh Scarf Wrap Pashmina,Finery Unisex Lightweight Plaid Tassel Arab Desert Shemagh KeffIyeh Scarf Wrap Pashmina,4.8,EUR,5.0,EUR,5.82,10000,,,3.9163729573854535,3121.0,1572,562,458,212,317,,,,,,white,,50,Livraison standard,1.0,false,,50,,,CN,fanstybuliding,fanstybuliding,"90% Positive Feedback (6,018 ratings)",6018,4.240611498836823,58f5afeae2a53b4882709ee8,,,https://www.wish.com/c/5b0379a591d2cf21cada6d4e,https://canary.contestimg.wish.com/api/webimage/5b0379a591d2cf21cada6d4e-medium.jpg,5b0379a591d2cf21cada6d4e
"Чехол-клавиатура для Samsung Galaxy Tab A7 10,4 '' 2020 SM-T500 / T505, тонкая легкая крышка-подставка с магнитно-съемной беспроводной клавиатурой для Galaxy Tab A 10.1 2019 T510 / A 8.0 2019 T290 / Tab S6 Lite P610 / S7 11 '' T870","Keyboard Case for Samsung Galaxy Tab A7 10.4'' 2020 SM-T500/T505, Slim Lightweight Stand Cover with Magnetically Detachable Wireless Keyboard for Galaxy Tab A 10.1 2019 T510/A 8.0 2019 T290/Tab S6 Lite P610/S7 11'' T870",16.0,EUR,16.0,EUR,19,10,,,3.875,16.0,8,4,1,0,3,,,,,,black,samsungtaba8.02019t290(nokeyboard),28,Livraison standard,6.0,false,,50,,,CN,NiceDay2018,niceday2018,"90% положительных отзывов (5,604 рейтинг)",5604,4.291399000713776,5adee0bc18d92169fd5184d3,,,https://www.wish.com/c/5fa3a7caaad093e7681fd561,https://canary.contestimg.wish.com/api/webimage/5fa3a7caaad093e7681fd561-medium.jpg,5fa3a7caaad093e7681fd561
New Fashion Walking Shoes for Women Lightweight Athletic Slip-On Lace-Up Closure Lightly Padded Insole Sneakers,New Fashion Walking Shoes for Women Lightweight Athletic Slip-On Lace-Up Closure Lightly Padded Insole Sneakers,10.0,EUR,10.0,EUR,12,10,,,2.0,1.0,0,0,0,1,0,,,,,,red,16,2,Livraison standard,3.0,false,,50,,,CN,Guo01shop,guo01shop,90 % avis positifs (440 notes),440,4.259090909090909,5d3c640dab0c794324a592f0,,,https://www.wish.com/c/603f3b4bdbf559e435714d55,https://canary.contestimg.wish.com/api/webimage/603f3b4bdbf559e435714d55-medium.jpg,603f3b4bdbf559e435714d55
"Air Queen Breathable and lightweight nano mask Large-Summer mask recommended, 30","Air Queen Breathable and lightweight nano mask Large-Summer mask recommended, 30",49.0,EUR,49.0,EUR,59.0,0,,,5.0,0.0,,,,,,,,,,,,,50,Livraison standard,0.0,false,,50,,,KR,Stay_Gorgeous Korea,stay_gorgeouskorea,100 % avis positifs (5 notes),5,4.8,5fd76ab639ab348c49576bf2,,,https://www.wish.com/c/60291cbc5f8142e21dc90f3c,https://canary.contestimg.wish.com/api/webimage/60291cbc5f8142e21dc90f3c-medium.jpg,60291cbc5f8142e21dc90f3c
Couverture en molleton de taille reine toutes saisons 240GSM jet léger pour le lit Extra doux brosse tissu hiver chaud canapé couverture,Fleece Queen Size Blanket All Season 240GSM Lightweight Throw for The Bed Extra Soft Brush Fabric Winter Warm Sofa Blanket ,10.0,EUR,10.0,EUR,11,10,,,3.891891891891892,37.0,21,3,6,2,5,,,,,,darkpurple,100by140cm,50,Livraison standard,2.0,false,,50,,,CN,Qiuling studio,qiulingstudio,91 % avis positifs (383 notes),383,4.276762402088773,5d3fdc9972b0c925e4750c43,,,https://www.wish.com/c/5f43acccbf35d4004a0cd20e,https://canary.contestimg.wish.com/api/webimage/5f43acccbf35d4004a0cd20e-medium.jpg,5f43acccbf35d4004a0cd20e
